NEIGHBORHOOD OF THE CRIME,counts,ADDRESS,location,latitude,longitude
ZONA CENTRO,2302,"ZONA CENTRO,Tijuana,Mexico","Zona Centro, Tijuana, Municipio de Tijuana, Baja California, 22055, México",32.532928,-117.0368426
ZONA URBANA RIO TIJUANA,1420,"ZONA URBANA RIO TIJUANA,Tijuana,Mexico","Zona Urbana Río Tijuana, Tijuana, Municipio de Tijuana, Baja California, 22010, México",32.52963695,-117.01986845015388
MARIANO MATAMOROS,1267,"MARIANO MATAMOROS,Tijuana,Mexico","Mariano Matamoros, SN, Calle Alicante, Otay Constituyentes, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22465, México",32.513355,-116.945469
CAMINO VERDE,697,"CAMINO VERDE,Tijuana,Mexico","Mexico, SN, Avenida Melchor Ocampo, Ejido Matamoros, Valle Verde, Tijuana, Municipio de Tijuana, Baja California, 22224, México",32.516067,-116.858502
RIO TIJUANA TERCERA ETAPA,677,"RIO TIJUANA TERCERA ETAPA,Tijuana,Mexico",,32.5067,-116.9411
MARIANO MATAMOROS NORTE,627,"MARIANO MATAMOROS NORTE,Tijuana,Mexico","Mariano Matamoros, SN, Calle Alicante, Otay Constituyentes, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22465, México",32.513355,-116.945469
NUEVA TIJUANA,620,"NUEVA TIJUANA,Tijuana,Mexico","Nueva, Ejido Matamoros, Villa del Sol Cuarta Sección, Tijuana, Municipio de Tijuana, Baja California, 22204, México",32.5185352,-116.849387
EL FLORIDO PRIMERA Y SEGUNDA SECCION,615,"EL FLORIDO PRIMERA Y SEGUNDA SECCION,Tijuana,Mexico",,32.4655,-116.8748
LA MESA,612,"LA MESA,Tijuana,Mexico","La Mesa, Del. Sanchez Taboada, Tijuana, Municipio de Tijuana, Baja California, 22250, México",32.4497809,-116.9886795
EL PIPILA,581,"EL PIPILA,Tijuana,Mexico","Pipila, Jalisco, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 2216, México",32.4881637,-116.9535577
ZONA NORTE,521,"ZONA NORTE,Tijuana,Mexico","Zona Urbana Río Tijuana, Tijuana, Municipio de Tijuana, Baja California, 22010, México",32.52963695,-117.01986845015388
S/D,498,"S/D,Tijuana,Mexico","Mexico, Calle Francisco J Mujica, Otay Constituyentes, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22457, México",32.5294237,-116.9462364
EJIDO FRANCISCO VILLA,490,"EJIDO FRANCISCO VILLA,Tijuana,Mexico",,32.516285,-116.895486
SANCHEZ TABOADA,478,"SANCHEZ TABOADA,Tijuana,Mexico","Del. Sanchez Taboada, La Joya, Municipio de Tijuana, Baja California, 22660, México",32.4587667,-117.0033247
EL RUBI,453,"EL RUBI,Tijuana,Mexico","Rubi, Chihuahua, Tijuana, Municipio de Tijuana, Baja California, 22600, México",32.4991499,-117.0596467
LAS TORRES,439,"LAS TORRES,Tijuana,Mexico","Las Torres, El Dorado, Valle Verde, Tijuana, Municipio de Tijuana, Baja California, 22205, México",32.5014262,-116.8771774
VILLA FONTANA I,399,"VILLA FONTANA I,Tijuana,Mexico","Villa Fontana, El Dorado, Valle Verde, Tijuana, Municipio de Tijuana, Baja California, 22205, México",32.5065109,-116.8719097
EL REFUGIO,375,"EL REFUGIO,Tijuana,Mexico","El Refugio, Municipio de Tijuana, Baja California, 22253, México",32.4590746,-116.8314406
JARDIN DORADO,372,"JARDIN DORADO,Tijuana,Mexico","Jardín Dorado, Tijuana, Municipio de Tijuana, Baja California, 22203, México",32.5205374,-116.8895782
20 DE NOVIEMBRE,371,"20 DE NOVIEMBRE,Tijuana,Mexico","20 de Noviembre, 18 de Marzo, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22186, México",32.4629008,-116.9466914
CIUDAD INDUSTRIAL,366,"CIUDAD INDUSTRIAL,Tijuana,Mexico","Ciudad Industrial, Jardín Dorado, Chilpancingo, Municipio de Tijuana, Baja California, 22444, México",32.539317249999996,-116.91348173462262
OBRERA,365,"OBRERA,Tijuana,Mexico","Obrera, Tijuana, Municipio de Tijuana, Baja California, 22625, México",32.4946013,-117.0392336
EL LAGO,362,"EL LAGO,Tijuana,Mexico","Canalización, Calle Vía Rápida Poniente, Constitución de 1917, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22440, México",32.5138391,-116.96878967723681
TERRAZAS DEL VALLE,337,"TERRAZAS DEL VALLE,Tijuana,Mexico","Terrazas del Valle, Lomas del Valle, Municipio de Tijuana, Baja California, 22246, México",32.4885541,-116.826424
LIBERTAD,334,"LIBERTAD,Tijuana,Mexico","Libertad, Tijuana, Municipio de Tijuana, Baja California, 22400, México",32.53754995,-117.00865756547279
BUENOS AIRES SUR,333,"BUENOS AIRES SUR,Tijuana,Mexico",,32.507,-116.894
GUAYCURA,331,"GUAYCURA,Tijuana,Mexico","Parque Guaycura, El Chino, Jardín Dorado, Tijuana, Municipio de Tijuana, Baja California, México",32.5065755,-116.91858252434898
MARIANO MATAMOROS SUR,323,"MARIANO MATAMOROS SUR,Tijuana,Mexico","Mariano Matamoros, SN, Calle Alicante, Otay Constituyentes, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22465, México",32.513355,-116.945469
BUENOS AIRES NORTE,306,"BUENOS AIRES NORTE,Tijuana,Mexico",,32.5171,-116.9013
REFORMA,294,"REFORMA,Tijuana,Mexico","Reforma, 18 de Marzo, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22186, México",32.4705996,-116.9504955
FRACC HCDA LAS DELICIAS,289,"FRACC HCDA LAS DELICIAS,Tijuana,Mexico",,32.407,-116.9411
ANEXA LOMA DORADA,285,"ANEXA LOMA DORADA,Tijuana,Mexico",,32.4651,-116.9466
ZONA RIO,282,"ZONA RIO,Tijuana,Mexico","Zona Urbana Río Tijuana, Tijuana, Municipio de Tijuana, Baja California, 22010, México",32.52963695,-117.01986845015388
SOLER,280,"SOLER,Tijuana,Mexico","Avenida Remigio Soler, División Los Altos, Tijuana, Municipio de Tijuana, Baja California, 22536, México",32.5355065,-117.0761409
PEDREGAL DE SANTA JULIA,280,"PEDREGAL DE SANTA JULIA,Tijuana,Mexico",,32.4936,-117.0603
FRANCISCO VILLA,268,"FRANCISCO VILLA,Tijuana,Mexico","Francisco Villa, Tijuana, Municipio de Tijuana, Baja California, 22614, México",32.5144924,-117.0578674
BUENA VISTA,265,"BUENA VISTA,Tijuana,Mexico","Buena Vista, Tijuana, Municipio de Tijuana, Baja California, 22415, México",32.520183149999994,-116.9869404831678
CAMPESTRE MURUA,261,"CAMPESTRE MURUA,Tijuana,Mexico",,32.5235,-116.9308
AMPLIACION GUAYCURA,255,"AMPLIACION GUAYCURA,Tijuana,Mexico","Parque Ampliación Guaycura, El Chino, Jardín Dorado, Tijuana, Municipio de Tijuana, Baja California, 22214, México",32.5064214,-116.9184174
10 DE MAYO,251,"10 DE MAYO,Tijuana,Mexico",,32.5415,-116.8866
SECCION JARDINES PLAYAS DE TIJUANA,249,"SECCION JARDINES PLAYAS DE TIJUANA,Tijuana,Mexico",,31.7272,-116.0175
ALTIPLANO,248,"ALTIPLANO,Tijuana,Mexico","Altiplano 5ta, Villa del Sol Cuarta Sección, Tijuana, Municipio de Tijuana, Baja California, 22709, México",32.5219074,-116.8395646
BAJA MAQ. EL AGUILA,247,"BAJA MAQ. EL AGUILA,Tijuana,Mexico",,32.4955,-116.9043
LOS ALAMOS,245,"LOS ALAMOS,Tijuana,Mexico","Tijuana, Municipio de Tijuana, Baja California, 22105, México",32.5010188,-116.9646629
3 DE OCTUBRE,242,"3 DE OCTUBRE,Tijuana,Mexico","3 de Octubre, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22186, México",32.4604092,-116.947183
LA GLORIA,241,"LA GLORIA,Tijuana,Mexico","Real de La Gloria, Del. Sanchez Taboada, Pórticos de San Antonio, Municipio de Tijuana, Baja California, México",32.44069045,-117.04468417696242
LOS SANTOS,239,"LOS SANTOS,Tijuana,Mexico",,32.5106,-116.9668
AVIACION,236,"AVIACION,Tijuana,Mexico","Aviación, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22014, México",32.5134672,-117.0083679
LA MORITA,231,"LA MORITA,Tijuana,Mexico","La Morita, Terrazas del Valle, El Refugio, Municipio de Tijuana, Baja California, 22245, México",32.4755559,-116.8415907
VALLE VERDE,229,"VALLE VERDE,Tijuana,Mexico","Valle Verde, Tijuana, Municipio de Tijuana, Baja California, 22203, México",32.5201768,-116.8704382
EL FLORIDO IV,227,"EL FLORIDO IV,Tijuana,Mexico","El Florido, Ejido Maclovio Rojas, Municipio de Tijuana, Baja California, 22254, México",32.4625768,-116.8058697
REAL DE SAN FRANCISCO,227,"REAL DE SAN FRANCISCO,Tijuana,Mexico","Real de San Francisco, Villa del Sol Cuarta Sección, Tijuana, Municipio de Tijuana, Baja California, 22236, México",32.485907,-116.8515463
GARITA DE OTAY,222,"GARITA DE OTAY,Tijuana,Mexico","Boulevard Garita de Otay, Otay Vista, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22457, México",32.5255214,-116.9339484
OTAY UNIVERSIDAD,221,"OTAY UNIVERSIDAD,Tijuana,Mexico","Otay Universidad, Tijuana, Municipio de Tijuana, Baja California, 22427, México",32.52722345,-116.97483435569566
EJIDO MACLOVIO ROJAS,214,"EJIDO MACLOVIO ROJAS,Tijuana,Mexico","Ejido Maclovio Rojas, Municipio de Tijuana, Baja California, 22254, México",32.4742264,-116.8018453
EL LAUREL,211,"EL LAUREL,Tijuana,Mexico","El Laurel, Terrazas del Valle, El Refugio, Municipio de Tijuana, Baja California, 22253, México",32.4655621,-116.8326278
PANAMERICANO,205,"PANAMERICANO,Tijuana,Mexico","Instituto Panamericano Tec. Num. 2, 5204, Calle Mar Hudson, Misión del Sol, Tijuana, Municipio de Tijuana, Baja California, 22001, México",32.538376,-117.067814
EL TECOLOTE,201,"EL TECOLOTE,Tijuana,Mexico","Calle Tecolote, El Escondido, Planicie, Tijuana, Municipio de Tijuana, Baja California, 22473, México",32.5530058,-116.8816674
EL DORADO RESIDENCIAL,192,"EL DORADO RESIDENCIAL,Tijuana,Mexico","Autopista Tijuana-Ensenada, Costa Coronado Residencial, Tijuana, Municipio de Tijuana, Baja California, 22667, México",32.5140884,-117.1096189
EJIDO OJO DE AGUA,191,"EJIDO OJO DE AGUA,Tijuana,Mexico","Ejido Ojo de Agua, El Florido, Ejido Maclovio Rojas, Municipio de Tijuana, Baja California, 22254, México",32.4753187,-116.788711
INDEPENDENCIA,191,"INDEPENDENCIA,Tijuana,Mexico","Independencia, 18 de Marzo, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22682, México",32.4779492,-116.937688
LAZARO CARDENAS,183,"LAZARO CARDENAS,Tijuana,Mexico","Lázaro Cárdenas, Tijuana, Municipio de Tijuana, Baja California, México",32.5266021,-117.0986317
EJIDO CHILPANCINGO,182,"EJIDO CHILPANCINGO,Tijuana,Mexico","Calle Ejido Chilpancingo, Valencia, Jardín Dorado, Chilpancingo, Municipio de Tijuana, Baja California, 22207, México",32.5149685,-116.9028461
SALVATIERRA,175,"SALVATIERRA,Tijuana,Mexico","Salvatierra, Tijuana, Municipio de Tijuana, Baja California, 22607, México",32.4829489,-117.0720732
EL MIRADOR,175,"EL MIRADOR,Tijuana,Mexico","El Mirador, Altiplano 5ta, Villa del Sol Cuarta Sección, Tijuana, Municipio de Tijuana, Baja California, 22709, México",32.5157821,-116.8356843
PRESIDENTES,175,"PRESIDENTES,Tijuana,Mexico","INFONAVIT Presidentes, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22101, México",32.49070405,-116.90635142395871
URBIVILLA DEL PRADO,174,"URBIVILLA DEL PRADO,Tijuana,Mexico",,32.4078,-116.9661
TOMAS AQUINO,173,"TOMAS AQUINO,Tijuana,Mexico","Tomas Aquino, Tijuana, Municipio de Tijuana, Baja California, 22414, México",32.52836235,-116.98609895776369
PORTICOS DE SAN ANTONIO,172,"PORTICOS DE SAN ANTONIO,Tijuana,Mexico","Pórticos de San Antonio, Municipio de Tijuana, Baja California, 22663, México",32.4406334,-117.0322012
SANTA FE,171,"SANTA FE,Tijuana,Mexico","Santa Fe, Villa Residencial Santa Fe 1ra Sección, Del. Sanchez Taboada, Pórticos de San Antonio, Municipio de Tijuana, Baja California, 22663, México",32.4472379,-117.0420699
VILLA DEL ALAMO,167,"VILLA DEL ALAMO,Tijuana,Mexico","Villa del Alamo, El Porvenir, San Luis, Municipio de Tijuana, Baja California, México",32.4337319,-116.94340113729231
LOS REYES,167,"LOS REYES,Tijuana,Mexico",,32.4567,-116.9249
OTAY CONSTITUYENTES,164,"OTAY CONSTITUYENTES,Tijuana,Mexico","Otay Constituyentes, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22457, México",32.5293228,-116.9466581
URBIVILLA DEL PRADO 2,161,"URBIVILLA DEL PRADO 2,Tijuana,Mexico",,32.4229,-116.9691
EJIDO LAZARO CARDENAS,156,"EJIDO LAZARO CARDENAS,Tijuana,Mexico",,32.435,-117.0073
VILLA DEL REAL I,156,"VILLA DEL REAL I,Tijuana,Mexico",,32.513,-116.8594
LOMAS DEL MATAMOROS,154,"LOMAS DEL MATAMOROS,Tijuana,Mexico",,32.5147,-116.8778
EMPERADORES,153,"EMPERADORES,Tijuana,Mexico","Emperadores, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22117, México",32.4864045,-116.9663788
PLAYAS DE TIJUANA,153,"PLAYAS DE TIJUANA,Tijuana,Mexico","Playas de Tijuana, Calle Colima, Playas de Tijuana Secc Terrazas, Tijuana, Municipio de Tijuana, Baja California, 22101, México",32.531755,-117.116418
ANEXA 20 DE NOVIEMBRE,152,"ANEXA 20 DE NOVIEMBRE,Tijuana,Mexico",,32.5134,-116.983
CAÑADAS DEL FLORIDO,152,"CAÑADAS DEL FLORIDO,Tijuana,Mexico",,32.4643,-116.8572
RESIDENCIAL DEL BOSQUE,150,"RESIDENCIAL DEL BOSQUE,Tijuana,Mexico",,32.5124,-116.8307
HIPODROMO,148,"HIPODROMO,Tijuana,Mexico","Galerías Hipódromo, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, México",32.50850895,-116.99274531878237
VILLA FONTANA,146,"VILLA FONTANA,Tijuana,Mexico","Villa Fontana, El Dorado, Valle Verde, Tijuana, Municipio de Tijuana, Baja California, 22205, México",32.5065109,-116.8719097
LIBERTAD PARTE BAJA,145,"LIBERTAD PARTE BAJA,Tijuana,Mexico","Cañón Johnson Sur Parte Baja, Cima, Tijuana, Municipio de Tijuana, Baja California, 22056, México",32.5042674,-117.0437694
LA JOYA,144,"LA JOYA,Tijuana,Mexico","La Joya, Municipio de Tijuana, Baja California, 22645, México",32.4448306,-117.0033708
