COLONIA DEL HECHO,counts,ADDRESS,location,point,latitude,longitude
ZONA CENTRO,5632,"ZONA CENTRO,Tijuana,Mexico","Zona Centro, Tijuana, Municipio de Tijuana, Baja California, 22055, México","(32.532928, -117.0368426, 0.0)",32.532928,-117.0368426
ZONA URBANA RIO TIJUANA,2651,"ZONA URBANA RIO TIJUANA,Tijuana,Mexico","Zona Urbana Río Tijuana, Tijuana, Municipio de Tijuana, Baja California, 22010, México","(32.52963695, -117.01986845015388, 0.0)",32.52963695,-117.01986845015388
MARIANO MATAMOROS,2611,"MARIANO MATAMOROS,Tijuana,Mexico","Mariano Matamoros, SN, Calle Alicante, Otay Constituyentes, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22465, México","(32.513355, -116.945469, 0.0)",32.513355,-116.945469
CAMINO VERDE,1933,"CAMINO VERDE,Tijuana,Mexico","Mexico, SN, Avenida Melchor Ocampo, Ejido Matamoros, Valle Verde, Tijuana, Municipio de Tijuana, Baja California, 22224, México","(32.516067, -116.858502, 0.0)",32.516067,-116.858502
S/D,1722,"S/D,Tijuana,Mexico","Mexico, Calle Francisco J Mujica, Otay Constituyentes, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22457, México","(32.529431, -116.946225, 0.0)",32.529431,-116.946225
EL PIPILA,1498,"EL PIPILA,Tijuana,Mexico","Pipila, Jalisco, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 2216, México","(32.4881637, -116.9535577, 0.0)",32.4881637,-116.9535577
NUEVA TIJUANA,1464,"NUEVA TIJUANA,Tijuana,Mexico","Nueva, Ejido Matamoros, Villa del Sol Cuarta Sección, Tijuana, Municipio de Tijuana, Baja California, 22204, México","(32.5185352, -116.849387, 0.0)",32.5185352,-116.849387
MARIANO MATAMOROS NORTE,1448,"MARIANO MATAMOROS NORTE,Tijuana,Mexico","Mariano Matamoros, SN, Calle Alicante, Otay Constituyentes, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22465, México","(32.513355, -116.945469, 0.0)",32.513355,-116.945469
RIO TIJUANA TERCERA ETAPA,1391,"RIO TIJUANA TERCERA ETAPA,Tijuana,Mexico",,,32.5067,-116.9411
LA MESA,1351,"LA MESA,Tijuana,Mexico","La Mesa, Del. Sanchez Taboada, Tijuana, Municipio de Tijuana, Baja California, 22250, México","(32.4497809, -116.9886795, 0.0)",32.4497809,-116.9886795
EL FLORIDO PRIMERA Y SEGUNDA SECCION,1328,"EL FLORIDO PRIMERA Y SEGUNDA SECCION,Tijuana,Mexico",,,32.4655,-116.8748
EL REFUGIO,1144,"EL REFUGIO,Tijuana,Mexico","El Refugio, Municipio de Tijuana, Baja California, 22253, México","(32.4590746, -116.8314406, 0.0)",32.4590746,-116.8314406
ZONA NORTE,1099,"ZONA NORTE,Tijuana,Mexico","Zona Urbana Río Tijuana, Tijuana, Municipio de Tijuana, Baja California, 22010, México","(32.52963695, -117.01986845015388, 0.0)",32.52963695,-117.01986845015388
VILLA FONTANA I,1068,"VILLA FONTANA I,Tijuana,Mexico","Villa Fontana, El Dorado, Valle Verde, Tijuana, Municipio de Tijuana, Baja California, 22205, México","(32.5065109, -116.8719097, 0.0)",32.5065109,-116.8719097
EL RUBI,1008,"EL RUBI,Tijuana,Mexico","Rubi, Chihuahua, Tijuana, Municipio de Tijuana, Baja California, 22600, México","(32.4991499, -117.0596467, 0.0)",32.4991499,-117.0596467
SECCION JARDINES PLAYAS DE TIJUANA,905,"SECCION JARDINES PLAYAS DE TIJUANA,Tijuana,Mexico",,,31.7272,-116.0175
LAS TORRES,891,"LAS TORRES,Tijuana,Mexico","Las Torres, El Dorado, Valle Verde, Tijuana, Municipio de Tijuana, Baja California, 22205, México","(32.5014262, -116.8771774, 0.0)",32.5014262,-116.8771774
TERRAZAS DEL VALLE,874,"TERRAZAS DEL VALLE,Tijuana,Mexico","Terrazas del Valle, Lomas del Valle, Municipio de Tijuana, Baja California, 22246, México","(32.4885541, -116.826424, 0.0)",32.4885541,-116.826424
