NEIGHBORHOOD_OF_THE_CRIME,counts,ADDRESS,location,latitude,longitude
ZONA CENTRO,1502,"ZONA CENTRO,Tijuana,Mexico","Zona Centro, Tijuana, Municipio de Tijuana, Baja California, 22055, México",32.532928,-117.0368426
MARIANO MATAMOROS,1033,"MARIANO MATAMOROS,Tijuana,Mexico","Mariano Matamoros, SN, Calle Alicante, Otay Constituyentes, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22465, México",32.513355,-116.945469
ZONA URBANA RIO TIJUANA,863,"ZONA URBANA RIO TIJUANA,Tijuana,Mexico","Zona Urbana Río Tijuana, Tijuana, Municipio de Tijuana, Baja California, 22010, México",32.52963695,-117.01986845015388
CAMINO VERDE,544,"CAMINO VERDE,Tijuana,Mexico","Mexico, SN, Avenida Melchor Ocampo, Ejido Matamoros, Valle Verde, Tijuana, Municipio de Tijuana, Baja California, 22224, México",32.516067,-116.858502
MARIANO MATAMOROS NORTE,500,"MARIANO MATAMOROS NORTE,Tijuana,Mexico","Mariano Matamoros, SN, Calle Alicante, Otay Constituyentes, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 22465, México",32.513355,-116.945469
EL FLORIDO PRIMERA Y SEGUNDA SECCION,496,"EL FLORIDO PRIMERA Y SEGUNDA SECCION,Tijuana,Mexico",,32.4655,-116.8748
NUEVA TIJUANA,491,"NUEVA TIJUANA,Tijuana,Mexico","Nueva, Ejido Matamoros, Villa del Sol Cuarta Sección, Tijuana, Municipio de Tijuana, Baja California, 22204, México",32.5185352,-116.849387
EL PIPILA,476,"EL PIPILA,Tijuana,Mexico","Pipila, Jalisco, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, 2216, México",32.4881637,-116.9535577
RIO TIJUANA TERCERA ETAPA,471,"RIO TIJUANA TERCERA ETAPA,Tijuana,Mexico",,32.5067,-116.9411
LA MESA,436,"LA MESA,Tijuana,Mexico","La Mesa, Del. Sanchez Taboada, Tijuana, Municipio de Tijuana, Baja California, 22250, México",32.4497809,-116.9886795
EJIDO FRANCISCO VILLA,392,"EJIDO FRANCISCO VILLA,Tijuana,Mexico",,32.516285,-116.895486
ZONA NORTE,377,"ZONA NORTE,Tijuana,Mexico","Zona Urbana Río Tijuana, Tijuana, Municipio de Tijuana, Baja California, 22010, México",32.52963695,-117.01986845015388
SANCHEZ TABOADA,376,"SANCHEZ TABOADA,Tijuana,Mexico","Del. Sanchez Taboada, La Joya, Municipio de Tijuana, Baja California, 22660, México",32.4587667,-117.0033247
LAS TORRES,367,"LAS TORRES,Tijuana,Mexico","Las Torres, El Dorado, Valle Verde, Tijuana, Municipio de Tijuana, Baja California, 22205, México",32.5014262,-116.8771774
EL RUBI,357,"EL RUBI,Tijuana,Mexico","Rubi, Chihuahua, Tijuana, Municipio de Tijuana, Baja California, 22600, México",32.4991499,-117.0596467
